yyyy,mo,dd,hh,mm,Par,Nir,LWdn,U,H2O,Ta,CO2,Trfall,Ts,hs,Kh,Lambda,T,W,h,Rn,H,LE,G,LWout,Fcapi,GPP,Respi
2005,6,1,0,15,0.0533482767641544,0.112186215817928,350.132934570313,0.0674492567777634,0.00651401747018099,8.05201970780532,0.000388968648621812,0,7.95868110656738,-1.58000254631042,4.30529974193052e-14,0.139152079820633,7.30971002578735,9.95160007476807,-0.0306795611977577,-0.373777627944946,-0.499331474304199,4.37847566604614,4.22829866409302,343.770080566406,0,-0.0013330850051716,0.013030432164669
2005,6,1,0,45,0.0177827589213848,0.0373954065144062,347.840240478516,0.0486190281808376,0.00650626607239246,7.57147230851339,0.000391636189306155,0,7.76993036270142,-1.58000493049622,4.30528246245839e-14,0.138871341943741,7.04668474197388,9.9211597442627,-0.0311154890805483,-1.40984308719635,-0.208561077713966,2.46673107147217,3.63660144805908,342.482299804688,0,-0.00083602248923853,0.0176015589386225
2005,6,1,1,15,0.0660678893327713,0.138957932591438,346.153350830078,0.0509342178702354,0.00653162365779281,7.22377627025401,0.00039138738065958,0,7.60149335861206,-1.58000707626343,4.30526586061263e-14,0.138623028993607,6.77542495727539,9.89020824432373,-0.0315656512975693,-1.6418913602829,-0.192104443907738,2.50699377059937,3.92609286308289,341.157989501953,0,-0.0030127780046314,0.0173049941658974
2005,6,1,1,45,0.0794049575924873,0.167004480957985,345.644989013672,0.0611210614442825,0.0065933745354414,7.10940086557131,0.000390581146348268,0,7.45458173751831,-1.58000922203064,4.3052502752064e-14,0.138408094644547,6.57181835174561,9.85108280181885,-0.0321448519825935,-1.12332952022552,-0.30988809466362,3.17453646659851,3.95141077041626,340.166473388672,0,-0.00351297436282039,0.0170040465891361
2005,6,1,2,15,0.10447371006012,0.219698011875153,345.363128662109,0.079951286315918,0.0066309031099081,7.03142270855622,0.000390086934203282,0,7.31716203689575,-1.58001124858856,4.30523468980017e-14,0.138208448886871,6.34771251678467,9.79417133331299,-0.0330081917345524,-0.263664364814758,-0.605554938316345,4.61550807952881,4.22307920455933,339.077667236328,0,-0.00450846459716558,0.0167924091219902
2005,6,1,2,45,0.082245260477066,0.172953754663467,344.424743652344,0.0858164429664612,0.00662273121997714,6.81979621394241,0.000390826666262001,0,7.18752145767212,-1.58001327514648,4.30521978202029e-14,0.13802133500576,6.13801765441895,9.73305416107178,-0.0339637398719788,-0.216523736715317,-0.676485598087311,4.95832061767578,4.44606399536133,338.061218261719,0,-0.00346029223874211,0.0165717490017414
2005,6,1,3,15,0.166713371872902,0.3505819439888,343.522705078125,0.0825751721858978,0.00666871620342135,6.61204096983579,0.000391142530133948,0,7.07989120483398,-1.58001518249512,4.30520555186678e-14,0.137866869568825,6.02495956420898,9.6780424118042,-0.0348499268293381,-0.385498404502869,-0.547671377658844,4.47440624237061,4.26585865020752,337.51416015625,0,-0.00680297520011663,0.0163730252534151
2005,6,1,3,45,1.01534616947174,2.13515019416809,343.446502685547,0.0725426748394966,0.00667807599529624,6.58596701615571,0.000391913636121899,0,7.0353536605835,-1.58002209663391,4.30515337463723e-14,0.137803137302399,6.19178771972656,9.63201332092285,-0.0356110520660877,0.465283185243607,-0.300333827733994,3.773841381073,2.96876454353333,338.321655273438,0,-0.0389020666480064,0.0162813030183315
2005,6,1,4,15,1.77848947048187,3.7559175491333,344.658416748047,0.0804143249988556,0.00680738594383001,6.80289060670644,0.000391265930375084,0,7.03865337371826,-1.58003807067871,4.30503411239826e-14,0.13780765235424,6.41190433502197,9.57735252380371,-0.0365389809012413,2.14847040176392,-0.350110918283463,4.48780298233032,1.94043970108032,339.389282226563,0,-0.0666418597102165,0.0165012087672949
2005,6,1,4,45,2.03914737701416,4.30686807632446,345.816284179688,0.0801056325435638,0.00688458932563663,7.00190627783178,0.000392067420762032,0,7.06478214263916,-1.58005714416504,4.30489147204994e-14,0.137844741344452,6.6060094833374,9.52195739746094,-0.0375068932771683,2.86774802207947,-0.351832896471024,4.54436302185059,1.27381348609924,340.332824707031,0,-0.0772956237196922,0.0167917311191559
2005,6,1,5,15,2.25736379623413,4.77959775924683,346.340637207031,0.0947685167193413,0.00702773500233889,7.06997087126718,0.00038955858326517,0,7.07521057128906,-1.58007860183716,4.30473053578996e-14,0.137859344482422,6.6333122253418,9.45197296142578,-0.0387709476053715,3.69532799720764,-0.507972002029419,5.71487045288086,1.44706249237061,340.465728759766,0,-0.0864786505699158,0.0170570071786642
2005,6,1,5,45,4.50089550018311,9.55404281616211,347.850433349609,0.0963119789958,0.00719655258581042,7.35969786649437,0.000387197971576825,0,7.17025661468506,-1.58012425899506,4.30438833447927e-14,0.137995019555092,7.18811178207397,9.37569713592529,-0.0402033813297749,7.07883310317993,-0.20044581592083,6.31326246261597,-1.04287147521973,343.174285888672,0,-0.155085623264313,0.0171043407171965
2005,6,1,6,15,6.80229139328003,14.4739370346069,350.304870605469,0.122859507799149,0.00737772835418582,7.81109169146584,0.000385600607842207,0,7.30809688568115,-1.58018922805786,4.30390179875437e-14,0.138192936778069,7.67376136779785,9.25669193267822,-0.0425590798258781,11.8388290405273,-0.236372143030167,9.81721687316895,-2.38645315170288,345.558502197266,0,-0.224925488233566,0.0177749134600163
