date;Q_mm;;
2016-10-04;0.0912064;;
2016-10-05;0.078424981;;
2016-10-06;0.070694321;;
2016-10-07;0.06570675;;
2016-10-08;0.058587174;;
2016-10-09;0.054843605;;
2016-10-10;0.051192254;;
2016-10-11;0.051132249;;
2016-10-12;0.051897688;;
2016-10-13;0.052038561;;
2016-10-14;0.049778239;;
2016-10-15;0.048214515;;
2016-10-16;0.050891132;;
2016-10-17;0.049914358;;
2016-10-18;0.04693181;;
2016-10-19;0.04399568;;
2016-10-20;0.043857371;;
2016-10-21;0.044134409;;
2016-10-22;0.04417585;;
2016-10-23;0.045166183;;
2016-10-24;0.045380724;;
2016-10-25;0.056863206;;
2016-10-26;0.057327491;;
2016-10-27;0.054086082;;
2016-10-28;0.055168569;;
2016-10-29;0.048145989;;
2016-10-30;0.042302187;;
2016-10-31;0.038194478;;
