yyyy,mo,dd,hh,mm,WT_E,WT_N,WT_W,WT_S
2010,5,3,23,0,-0.227874328,-999,-0.23176929,-0.15611448
2010,5,4,0,0,-0.228307685,-999,-0.231870126,-0.156271023
2010,5,4,1,0,-0.228504135,-999,-0.231780544,-0.156788877
2010,5,4,2,0,-0.228747961,-999,-0.231738568,-0.157078973
2010,5,4,3,0,-0.229039165,-999,-0.231601385,-0.157510349
2010,5,4,4,0,-0.229093467,-999,-0.231607013,-0.157894625
2010,5,4,5,0,-0.22957418,-999,-0.231803053,-0.158325989
2010,5,4,6,0,-0.2295811,-999,-0.231903886,-0.158757347
2010,5,4,7,0,-0.230535586,-999,-0.23229033,-0.159235792
2010,5,4,8,0,-0.231442681,-999,-0.232819575,-0.159808417
2010,5,4,9,0,-0.231686476,-999,-0.233253611,-0.160475219
2010,5,4,10,0,-0.231977645,-999,-0.233211628,-0.160435625
2010,5,4,11,0,-0.231747663,-999,-0.232884039,-0.160019295
2010,5,4,12,0,-0.231849321,-999,-0.232318451,-0.158661137
2010,5,4,13,0,-0.23166672,-999,-0.231514868,-0.157020451
2010,5,4,14,0,-0.231721001,-999,-0.230520895,-0.155003061
2010,5,4,15,0,-0.231964785,-999,-0.229669734,-0.153221154
2010,5,4,16,0,-0.231924313,-999,-0.228580587,-0.151486363
2010,5,4,17,0,-0.231741716,-999,-0.227301056,-0.149751598
2010,5,4,18,0,-0.231180125,-999,-0.225926344,-0.148817383
2010,5,4,19,0,-0.230997537,-999,-0.224361254,-0.147789003
2010,5,4,20,0,-0.231004447,-999,-0.223129373,-0.147231527
2010,5,4,21,0,-0.230442874,-999,-0.222135498,-0.147144946
2010,5,4,22,0,-0.230402415,-999,-0.221617612,-0.147058366
2010,5,4,23,0,-0.230314583,-999,-0.221528109,-0.147113052
2010,5,5,0,0,-0.230084635,-999,-0.221581399,-0.147126701
2010,5,5,1,0,-0.230091552,-999,-0.221777479,-0.147881642
2010,5,5,2,0,-0.230003725,-999,-0.222306732,-0.148595536
2010,5,5,3,0,-0.230436988,-999,-0.222978767,-0.149497767
2010,5,5,4,0,-0.230443903,-999,-0.223650793,-0.150447071
2010,5,5,5,0,-0.230450817,-999,-0.224275216,-0.151349275
2010,5,5,6,0,-0.230694586,-999,-0.22489963,-0.152298551
2010,5,5,7,0,-0.231175202,-999,-0.225762012,-0.153247814
2010,5,5,8,0,-0.231655812,-999,-0.226576788,-0.154244148
2010,5,5,9,0,-0.232468004,-999,-0.227534338,-0.155193382
2010,5,5,10,0,-0.233611769,-999,-0.228587063,-0.156189687
2010,5,5,11,0,-0.234518674,-999,-0.229496994,-0.157138894
2010,5,5,12,0,-0.235046616,-999,-0.230264132,-0.15771142
2010,5,5,13,0,-0.235669288,-999,-0.230983668,-0.158425186
2010,5,5,14,0,-0.236955104,-999,-0.231893567,-0.159044777
2010,5,5,15,0,-0.237530386,-999,-0.232613084,-0.159758523
2010,5,5,16,0,-0.238010926,-999,-0.232904261,-0.160095603
2010,5,5,17,0,-0.238728294,-999,-0.233433394,-0.160291432
2010,5,5,18,0,-0.239824586,-999,-0.233962521,-0.160675585
2010,5,5,19,0,-0.240399832,-999,-0.234348867,-0.161012651
2010,5,5,20,0,-0.241259267,-999,-0.234449661,-0.161443873
2010,5,5,21,0,-0.241597667,-999,-0.23488359,-0.161875089
2010,5,5,22,0,-0.24236235,-999,-0.235269923,-0.162400459
2010,5,5,23,0,-0.242890198,-999,-0.235608661,-0.162878742
2010,5,6,0,0,-0.243086486,-999,-0.235804626,-0.163083336
2010,5,6,1,0,-0.243330135,-999,-0.236048177,-0.163835286
2010,5,6,2,0,-0.244000057,-999,-0.236339315,-0.164407706
2010,5,6,3,0,-0.244669971,-999,-0.236773216,-0.165074273
2010,5,6,4,0,-0.245339874,-999,-0.2372547,-0.165787909
2010,5,6,5,0,-0.246009769,-999,-0.237783766,-0.166313224
2010,5,6,6,0,-0.246963831,-999,-0.238408002,-0.167120994
2010,5,6,7,0,-0.247491618,-999,-0.238984643,-0.167881676
2010,5,6,8,0,-0.24830357,-999,-0.239513689,-0.168642347
2010,5,6,9,0,-0.248973425,-999,-0.240233076,-0.169450084
2010,5,6,10,0,-0.249169657,-999,-0.241000042,-0.170210732
2010,5,6,11,0,-0.250218386,-999,-0.241576652,-0.171112596
2010,5,6,12,0,-0.251551265,-999,-0.242343599,-0.171731996
2010,5,6,13,0,-0.252221079,-999,-0.242777436,-0.172021864
2010,5,6,14,0,-0.252464643,-999,-0.242878167,-0.172217578
2010,5,6,15,0,-0.25356068,-999,-0.243311994,-0.172554512
2010,5,6,16,0,-0.253662153,-999,-0.243698231,-0.172938515
2010,5,6,17,0,-0.254189857,-999,-0.244132048,-0.173463733
2010,5,6,18,0,-0.255049065,-999,-0.24456586,-0.173518212
2010,5,6,19,0,-0.255860903,-999,-0.244761745,-0.173808054
2010,5,6,20,0,-0.256435939,-999,-0.244957628,-0.173956675
2010,5,6,21,0,-0.256774178,-999,-0.245058341,-0.173964078
2010,5,6,22,0,-0.256828268,-999,-0.245206637,-0.174018552
2010,5,6,23,0,-0.25764007,-999,-0.245307347,-0.174120098
2010,5,7,0,0,-0.258262435,-999,-0.245217726,-0.174138174
2010,5,7,1,0,-0.258505939,-999,-0.245270853,-0.174605608
2010,5,7,2,0,-0.25874944,-999,-0.245228816,-0.174754217
2010,5,7,3,0,-0.258803514,-999,-0.245281942,-0.175232314
2010,5,7,4,0,-0.259094366,-999,-0.245335068,-0.175616265
2010,5,7,5,0,-0.259101082,-999,-0.245578518,-0.176047279
2010,5,7,6,0,-0.259628701,-999,-0.245774384,-0.176525356
2010,5,7,7,0,-0.260156313,-999,-0.246017828,-0.176862221
2010,5,7,8,0,-0.260968042,-999,-0.24635643,-0.177340285
2010,5,7,9,0,-0.261116807,-999,-0.246599867,-0.177630071
2010,5,7,10,0,-0.26154969,-999,-0.246986041,-0.177872786
2010,5,7,11,0,-0.261840509,-999,-0.247181892,-0.178209631
2010,5,7,12,0,-0.26208397,-999,-0.24694953,-0.177840468
2010,5,7,13,0,-0.262848305,-999,-0.247002642,-0.177753711
2010,5,7,14,0,-0.262854996,-999,-0.247293647,-0.177855219
2010,5,7,15,0,-0.263240501,-999,-0.247299179,-0.178097923
2010,5,7,16,0,-0.26329454,-999,-0.247447445,-0.178011166
2010,5,7,17,0,-0.263727388,-999,-0.247548131,-0.17801854
2010,5,7,18,0,-0.262739706,-999,-0.247077889,-0.177555266
2010,5,7,19,0,-0.259195112,-999,-0.243229691,-0.172997393
2010,5,7,20,0,-0.247743093,-999,-0.232007165,-0.163450792
2010,5,7,21,0,-0.229709612,-999,-0.208890698,-0.138608612
2010,5,7,22,0,-0.212907469,-999,-0.189437877,-0.11188426
2010,5,7,23,0,-0.203302633,-999,-0.181879235,-0.100455795
2010,5,8,0,0,-0.197249092,-999,-0.179173382,-0.096883984
2010,5,8,1,0,-0.19422594,-999,-0.178370569,-0.096047819
2010,5,8,2,0,-0.19120283,-999,-0.177995939,-0.095208679
2010,5,8,3,0,-0.184676023,-999,-0.176098929,-0.091592911
2010,5,8,4,0,-0.178386045,-999,-0.172774717,-0.086094744
2010,5,8,5,0,-0.173942695,-999,-0.171163208,-0.085208634
2010,5,8,6,0,-0.167889615,-999,-0.168076937,-0.080416504
2010,5,8,7,0,-0.160179493,-999,-0.162374173,-0.073177308
2010,5,8,8,0,-0.147592823,-999,-0.151581168,-0.060243965
2010,5,8,9,0,-0.138036464,-999,-0.139503836,-0.052769726
2010,5,8,10,0,-0.136481628,-999,-0.138035306,-0.056213346
2010,5,8,11,0,-0.136015753,-999,-0.138231819,-0.059421621
2010,5,8,12,0,-0.136070677,-999,-0.138618617,-0.061359268
2010,5,8,13,0,-0.136078257,-999,-0.13995684,-0.063485119
2010,5,8,14,0,-0.13613318,-999,-0.142103757,-0.065799171
2010,5,8,15,0,-0.137087637,-999,-0.144345788,-0.067972016
2010,5,8,16,0,-0.138941606,-999,-0.14649265,-0.069815429
2010,5,8,17,0,-0.140369461,-999,-0.148734626,-0.071658815
2010,5,8,18,0,-0.141323868,-999,-0.150548443,-0.072984553
2010,5,8,19,0,-0.142467631,-999,-0.15183897,-0.073039755
2010,5,8,20,0,-0.143658721,-999,-0.153557606,-0.073800794
2010,5,8,21,0,-0.144802452,-999,-0.155085944,-0.075126487
2010,5,8,22,0,-0.146182875,-999,-0.156566693,-0.075275783
2010,5,8,23,0,-0.146663796,-999,-0.157952288,-0.076648501
2010,5,9,0,0,-0.147807483,-999,-0.159337864,-0.077826572
2010,5,9,1,0,-0.149235196,-999,-0.160770991,-0.07897039
2010,5,9,2,0,-0.150189488,-999,-0.162251668,-0.07982546
2010,5,9,3,0,-0.151096427,-999,-0.163494489,-0.081103998
2010,5,9,4,0,-0.152524088,-999,-0.165070264,-0.082758942
2010,5,9,5,0,-0.153667694,-999,-0.166550885,-0.084131546
2010,5,9,6,0,-0.155095317,-999,-0.168221754,-0.085174762
2010,5,9,7,0,-0.156570259,-999,-0.169892601,-0.086265016
2010,5,9,8,0,-0.157950504,-999,-0.171563427,-0.087167047
2010,5,9,9,0,-0.158904689,-999,-0.173139101,-0.088022014
2010,5,9,10,0,-0.160142886,-999,-0.174191538,-0.088876968
2010,5,9,11,0,-0.161381065,-999,-0.175243962,-0.089684859
2010,5,9,12,0,-0.162761238,-999,-0.176391502,-0.090351588
2010,5,9,13,0,-0.163715363,-999,-0.177586592,-0.091018307
2010,5,9,14,0,-0.164906155,-999,-0.178781666,-0.091685016
2010,5,9,15,0,-0.165860252,-999,-0.18002429,-0.092351716
2010,5,9,16,0,-0.167051013,-999,-0.181219334,-0.092877259
2010,5,9,17,0,-0.167768405,-999,-0.182271674,-0.093402794
2010,5,9,18,0,-0.168675127,-999,-0.183038624,-0.093834226
2010,5,9,19,0,-0.169345164,-999,-0.183900689,-0.094312699
2010,5,9,20,0,-0.170015191,-999,-0.184477371,-0.094791166
2010,5,9,21,0,-0.171158548,-999,-0.185386978,-0.095363719
2010,5,9,22,0,-0.171828553,-999,-0.186058766,-0.096124452
2010,5,9,23,0,-0.172735216,-999,-0.186968352,-0.096885174
2010,5,10,0,0,-0.173452534,-999,-0.187830365,-0.097501734
2010,5,10,1,0,-0.174122509,-999,-0.188407004,-0.098406584
2010,5,10,2,0,-0.174839808,-999,-0.189221437,-0.099120228
2010,5,10,3,0,-0.175557096,-999,-0.190178541,-0.099927951
2010,5,10,4,0,-0.176463701,-999,-0.191135632,-0.100782707
2010,5,10,5,0,-0.177180968,-999,-0.191997592,-0.10163745
2010,5,10,6,0,-0.177898226,-999,-0.192859541,-0.102445138
2010,5,10,7,0,-0.178662804,-999,-0.19372148,-0.103252813
2010,5,10,8,0,-0.179427371,-999,-0.194630966,-0.10396639
2010,5,10,9,0,-0.180144598,-999,-0.195397766,-0.104774043
2010,5,10,10,0,-0.180625167,-999,-0.196259673,-0.105534641
2010,5,10,11,0,-0.181437034,-999,-0.197026453,-0.106295228
2010,5,10,12,0,-0.182106903,-999,-0.197698109,-0.106914678
2010,5,10,13,0,-0.18287142,-999,-0.198369756,-0.107534119
2010,5,10,14,0,-0.183588598,-999,-0.198993838,-0.10810651
2010,5,10,15,0,-0.184258438,-999,-0.199617913,-0.108631852
2010,5,10,16,0,-0.184691631,-999,-0.200146867,-0.109110145
2010,5,10,17,0,-0.185645418,-999,-0.20072337,-0.109635472
2010,5,10,18,0,-0.186125923,-999,-0.201204755,-0.110160791
2010,5,10,19,0,-0.18660642,-999,-0.201495914,-0.110450904
2010,5,10,20,0,-0.187276216,-999,-0.201977288,-0.110835092
2010,5,10,21,0,-0.187709373,-999,-0.202506211,-0.111266314
2010,5,10,22,0,-0.188379153,-999,-0.202892464,-0.111838645
2010,5,10,23,0,-0.189048923,-999,-0.203373821,-0.112552082
2010,5,11,0,0,-0.189198109,-999,-0.203997832,-0.113124067
2010,5,11,1,0,-0.189536592,-999,-0.204288962,-0.114073
2010,5,11,2,0,-0.189922394,-999,-0.20491296,-0.114927517
2010,5,11,3,0,-0.190734107,-999,-0.205632056,-0.115782021
2010,5,11,4,0,-0.191545808,-999,-0.206398696,-0.116730586
2010,5,11,5,0,-0.192262851,-999,-0.207165326,-0.117632101
2010,5,11,6,0,-0.192979885,-999,-0.207694186,-0.118439531
2010,5,11,7,0,-0.193980844,-999,-0.208555902,-0.119435092
2010,5,11,8,0,-0.19540769,-999,-0.209512709,-0.120336567
2010,5,11,9,0,-0.196881838,-999,-0.210421953,-0.12123803
2010,5,11,10,0,-0.19788275,-999,-0.211140983,-0.121998376
2010,5,11,11,0,-0.19864704,-999,-0.211907554,-0.122711677
2010,5,11,12,0,-0.199505963,-999,-0.212293715,-0.123424968
2010,5,11,13,0,-0.200364873,-999,-0.21282252,-0.123997148
2010,5,11,14,0,-0.20098717,-999,-0.212923373,-0.124334155
2010,5,11,15,0,-0.201467498,-999,-0.213261971,-0.124765222
2010,5,11,16,0,-0.201947819,-999,-0.213600564,-0.124961122
2010,5,11,17,0,-0.202522773,-999,-0.213891605,-0.125251082
2010,5,11,18,0,-0.202813805,-999,-0.214039997,-0.125541039
2010,5,11,19,0,-0.203294107,-999,-0.213998195,-0.125642866
2010,5,11,20,0,-0.203679766,-999,-0.214099037,-0.126026878
2010,5,11,21,0,-0.20406542,-999,-0.214294973,-0.126175731
2010,5,11,22,0,-0.204403751,-999,-0.214395811,-0.126371612
2010,5,11,23,0,-0.204505491,-999,-0.214496649,-0.12647343
2010,5,12,0,0,-0.204938448,-999,-0.214454846,-0.126530185
2010,5,12,1,0,-0.204945549,-999,-0.214270405,-0.126818151
2010,5,12,2,0,-0.204999967,-999,-0.214228604,-0.127249166
2010,5,12,3,0,-0.205007068,-999,-0.214234349,-0.127727204
2010,5,12,4,0,-0.20544001,-999,-0.214525367,-0.128205235
2010,5,12,5,0,-0.205920261,-999,-0.21481638,-0.128683259
2010,5,12,6,0,-0.205832726,-999,-0.21520248,-0.129255332
2010,5,12,7,0,-0.206644171,-999,-0.21554103,-0.129733341
2010,5,12,8,0,-0.207219032,-999,-0.21616484,-0.130305397
2010,5,12,9,0,-0.2078412,-999,-0.216646012,-0.130877446
2010,5,12,10,0,-0.208274105,-999,-0.217317351,-0.131543537
2010,5,12,11,0,-0.20894357,-999,-0.217941139,-0.13220962
2010,5,12,12,0,-0.209802278,-999,-0.218707547,-0.132922718
2010,5,12,13,0,-0.210850225,-999,-0.219426404,-0.133729856
2010,5,12,14,0,-0.211614283,-999,-0.220192793,-0.134442932
2010,5,12,15,0,-0.212804138,-999,-0.221006715,-0.135155999
2010,5,12,16,0,-0.213568172,-999,-0.221678002,-0.135963103
2010,5,12,17,0,-0.214426818,-999,-0.222301739,-0.136676148
2010,5,12,18,0,-0.214859653,-999,-0.222782845,-0.137201089
2010,5,12,19,0,-0.215481725,-999,-0.2229787,-0.137490907
2010,5,12,20,0,-0.215346822,-999,-0.222889309,-0.137592631
2010,5,12,21,0,-0.215495781,-999,-0.22275238,-0.137600308
2010,5,12,22,0,-0.215360881,-999,-0.222567912,-0.137560964
2010,5,12,23,0,-0.215651766,-999,-0.222383447,-0.13752162
2010,5,13,0,0,-0.21532763,-999,-0.222008827,-0.137203931
2010,5,13,1,0,-0.214577721,-999,-0.221396517,-0.13720783
2010,5,13,2,0,-0.214300906,-999,-0.220831753,-0.137074449
2010,5,13,3,0,-0.213503706,-999,-0.220362074,-0.137082131
2010,5,13,4,0,-0.213510749,-999,-0.220035014,-0.137136833
2010,5,13,5,0,-0.213233948,-999,-0.219945648,-0.137332592
2010,5,13,6,0,-0.213193685,-999,-0.219951358,-0.137810464
2010,5,13,7,0,-0.213437264,-999,-0.220052143,-0.138335349
2010,5,13,8,0,-0.213491613,-999,-0.220248,-0.13871917
2010,5,13,9,0,-0.213877105,-999,-0.220491391,-0.139008949
2010,5,13,10,0,-0.213931451,-999,-0.22059217,-0.139251706
2010,5,13,11,0,-0.214033102,-999,-0.220883092,-0.139400424
2010,5,13,12,0,-0.213614396,-999,-0.221269082,-0.13940809
2010,5,13,13,0,-0.213574133,-999,-0.22141739,-0.139462772
2010,5,13,14,0,-0.213060828,-999,-0.221613231,-0.139611486
2010,5,13,15,0,-0.212689441,-999,-0.221571396,-0.139713182
2010,5,13,16,0,-0.212838402,-999,-0.221862303,-0.139720845
