yyyy,mo,dd,hh,mm,SH,SH_flag,SH_gapfilled,SH_gapfilled_flag,LE,LE_flag,LE_gapfilled,LE_gapfilled_flag,NEE,NEE_flag,NEE_gapfilled,NEE_gapfilled_flag
2014,1,2,2,0,3.9843,0,3.9842660000000003,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,2,30,2.2796,0,2.279607,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,3,0,-1.3142,0,-1.3142479999999999,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,3,30,-7.6289,0,-7.628912,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,4,0,-18.048,0,-18.048338,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,4,30,-34.055,0,-34.055347,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,5,0,-34.014,0,-34.013512,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,5,30,-20.07,0,-20.070427,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,6,0,-14.100999999999999,0,-14.10113,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,6,30,-8.3243,0,-8.324318,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,7,0,-5.1955,0,-5.195488,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,7,30,-8.1147,0,-8.114663,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,8,0,-15.552999999999999,0,-15.553082999999999,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,8,30,-30.904,0,-30.904004999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,9,0,-27.551,0,-27.550584999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,9,30,-44.846000000000004,0,-44.846171999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,10,0,-33.473,0,-33.473419,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,10,30,-17.764,0,-17.763552,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,11,0,NaN,1,-3.536954,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,11,30,-16.168,0,-16.167986,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,12,0,-22.434,0,-22.433517000000002,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,12,30,-24.840999999999998,0,-24.840544,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,13,0,-15.612,0,-15.611598999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,13,30,-19.215,0,-19.214788000000002,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,14,0,-21.438000000000002,0,-21.437801,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,14,30,-42.692,0,-42.691628,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,15,0,-33.214,0,-33.213516,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,15,30,-14.98,0,-14.980489000000002,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,16,0,-21.803,0,-21.80336,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,16,30,-18.309,0,-18.308857,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,17,0,-7.0758,0,-7.075758,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,17,30,-6.1227,0,-6.122746,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,18,0,-3.5035,0,-3.503513,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,18,30,15.690999999999999,0,15.690641000000001,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,19,0,-0.78781,0,-0.7878069999999999,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,19,30,-0.049988,0,-0.049988,0,NaN,1,NaN,1,NaN,1,NaN,1
