year;month;day;hour;minute;doy;Prec;P;Tair;Tdaily;U;Ustar;H2O;CO2;Zen;LWin;diffPar;dirPar;diffNir;dirNir;Tsoil;Wliq;X;DDsum
2019;11;25;6;30;329;0.0;98319.12;-0.8320000000000001;-1.3704166666666666;1.742;0.29507;5.830102493933285;428.14;1.8086257433312338;313.118;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;7;0;329;0.0;98302.36;-0.8640000000000001;-1.3704166666666666;1.9712;0.33957;5.817288806236325;428.62;1.7562881543839906;312.987;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;7;30;329;0.0;98298.46;-0.969;-1.3704166666666666;2.4236;0.40577;5.773043277270423;428.29;1.706766464557433;312.085;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;8;0;329;0.0;98301.73;-0.989;-1.3704166666666666;1.7364;0.37316;5.764923530059131;428.18;1.6607128298951968;311.938;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;8;30;329;0.0;98320.91;-0.996;-1.3704166666666666;2.2776;0.4029;5.760613813711908;428.24;1.6187595672927317;311.703;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;9;0;329;0.0;98320.09000000001;-1.005;-1.3704166666666666;2.2797;0.42344;5.75686599655765;428.3;1.581513051130011;311.756;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;9;30;329;0.0;98316.8;-1.014;-1.3704166666666666;1.8161;0.3799;5.753149437314866;428.44;1.5495425960425986;311.621;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;10;0;329;0.0;98297.45;-1.032;-1.3704166666666666;1.5608;0.27087;5.746930319795815;428.67;1.523364938671476;311.772;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;10;30;329;0.0;98283.26;-1.043;-1.3704166666666666;2.602566;0.49448754;5.743129969974936;428.76;1.5034256128269066;312.219;0.11362783097035535;0.009622169029644636;0.11362783097035535;0.009622169029644636;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;11;0;329;0.0;98283.24;-1.012;-1.3704166666666666;2.702356;0.51344764;5.7563035220573795;428.85;1.4900792440902235;312.4170000000001;1.1129586118251928;0.06479138817480724;1.1129586118251928;0.06479138817480724;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;11;30;329;0.0;98255.1;-0.993;-1.3704166666666666;0.93211;0.2513;5.765680975014137;428.94;1.4835713583121812;312.666;1.3673760131563493;0.08062398684365088;1.3673760131563493;0.08062398684365088;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;12;0;329;0.0;98240.25;-0.976;-1.3704166666666666;0.92355;0.24194;5.773735686116597;428.76;1.4840244537336678;312.559;0.7030616177031667;0.043938382296833306;0.7030616177031667;0.043938382296833306;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;12;30;329;0.0;98225.07;-1.013;-1.3704166666666666;1.065;0.14807;5.758828421765377;428.12;1.491430649957674;311.406;0.4733564182334641;0.030643581766535893;0.4733564182334641;0.030643581766535893;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;13;0;329;0.0;98200.13;-1.04;-1.3704166666666666;1.0442;0.32038;5.748909184930914;428.36;1.5056522036153717;311.663;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;13;30;329;0.0;98182.48;-1.113;-1.3704166666666666;1.1891;0.27164;5.719206436104292;428.3;1.5264298009127537;310.415;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;14;0;329;0.0;98170.59000000001;-1.151;-1.3704166666666666;1.1434;0.17234000000000002;5.704328377486621;428.18;1.55339718312215;308.778;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;14;30;329;0.0;98170.95000000001;-1.142;-1.3704166666666666;1.0715;0.2282;5.707615154432638;428.21;1.5860997031502917;309.6740000000001;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;15;0;329;0.0;98160.06999999999;-1.19;-1.3704166666666666;1.0172;0.24756;5.688359595561636;428.58;1.6240140534242382;307.557;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;15;30;329;0.0;98149.34;-1.248;-1.3704166666666666;2.901497;0.55128443;5.664879873876224;428.66;1.6665666248285271;306.618;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;16;0;329;0.0;98137.66;-1.259;-1.3704166666666666;2.917135;0.55425565;5.660868416905875;428.74;1.713148558911416;303.539;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;16;30;329;0.0;98189.69999;-1.2919999999999998;-1.3704166666666666;0.74247;0.15127000000000002;5.644235697518542;428.82;1.763126290397996;285.748;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;17;0;329;0.0;98164.92149;-1.412;-1.3704166666666666;0.8821200000000001;0.07296;5.596172070424806;429.38;1.8158470408074134;280.87;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;17;30;329;0.0;98162.29787999997;-1.631;-1.3704166666666666;1.0045;0.20719;5.506947563586046;429.98;1.8706392111088346;276.435;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;18;0;329;0.0;98162.60949999999;-1.863;-1.3704166666666666;0.77771;0.16427999999999998;5.413412698208587;429.49;1.9268079246515923;279.414;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;18;30;329;0.0;98145.84254;-1.993;-1.3704166666666666;1.1056;0.18066;5.362904302352994;429.4;1.9836261585095034;295.514;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;19;0;329;0.0;98122.90358;-2.016;-1.3704166666666666;0.9465;0.22881;5.354785246277782;429.58;2.0403220921723624;293.839;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;19;30;329;0.0;98091.20921;-2.02;-1.3704166666666666;0.90325;0.2302;5.355201680956552;429.75;2.096063662561294;289.848;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;20;0;329;0.0;98080.95603;-2.099;-1.3704166666666666;0.45044;0.13009;5.324910214747201;429.75;2.1499420562091824;294.631;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;20;30;329;0.0;98078.62394;-2.173;-1.3704166666666666;3.3073839999999994;0.62840296;5.295928417543236;429.92;2.2009572382764566;303.315;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;21;0;329;0.0;97993.51000000001;-2.339;-1.3704166666666666;3.095417;0.58812923;5.235805519099191;430.09;2.2480107998670666;302.625;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;21;30;329;0.0;97983.73;-2.681;-1.3704166666666666;1.5745;0.30401;5.1052269050845585;430.26;2.2899142543111526;302.9240000000001;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;22;0;329;0.0;97974.51;-2.867;-1.3704166666666666;1.6591;0.30486;5.035551363875063;431.06;2.3254234120249784;303.005;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;22;30;329;0.0;97943.47;-3.144;-1.3704166666666666;1.5428;0.42266;4.9344422865444715;430.84;2.353309094158368;298.37;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;23;0;329;0.0;97925.14;-3.302;-1.3704166666666666;1.068;0.33372;4.87742657137434;430.78;2.3724674035262217;290.632;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;25;23;30;329;0.0;97914.03;-3.309;-1.3704166666666666;1.0687;0.24572;4.875284414968194;431.05;2.3820567077990544;290.691;0.0;0.0;0.0;0.0;1.147;0.24985;-2.2052194243036505;996.3474302542502
2019;11;26;0;0;330;0.0;97904.145;-3.3310000000000004;-3.6477083333333336;0.67932;0.16255999999999998;4.867773063789112;431.06;2.3816279346791083;287.035;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;0;30;330;0.0;97894.26;-3.35;-3.6477083333333336;1.244;0.2417;4.8612147887466834;431.52;2.3712030584330255;296.175;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;1;0;330;0.0;97863.83;-3.438;-3.6477083333333336;1.2167;0.2448;4.830953350103261;431.75;2.351273213156165;298.659;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;1;30;330;0.0;97842.62999999999;-3.5210000000000004;-3.6477083333333336;3.415798;0.6490016200000001;4.801863014734652;431.70333333333326;2.3227106694642137;298.074;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;2;0;330;0.0;97831.23000000001;-3.545;-3.6477083333333336;3.473819;0.66002561;4.793711767564381;431.6566666666667;2.2866374165771814;299.097;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;2;30;330;0.0;97802.98;-3.554;-3.6477083333333336;0.93252;0.30327;4.791868602768961;431.61;2.244289258750448;298.411;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;3;0;330;0.0;97772.51;-3.572;-3.6477083333333336;0.8533200000000001;0.17397;4.786814057125818;431.86;2.196908866850874;294.446;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;3;30;330;0.0;97742.04;-3.535;-3.6477083333333336;0.42665;0.17953;4.801628831782415;431.86;2.1456786352960977;288.9840000000001;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;4;0;330;0.0;97711.56999999999;-3.537;-3.6477083333333336;1.0216;0.24739;4.802407554687409;432.25;2.091689121074342;295.398;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;4;30;330;0.0;97681.1;-3.58;-3.6477083333333336;1.3069;0.34958;4.788473963412524;432.18;2.0359325507239436;299.532;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;5;0;330;0.0;97644.36;-3.594;-3.6477083333333336;0.93899;0.17987999999999998;4.78521104874008;432.54;1.97931091688088;298.297;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;5;30;330;0.0;97675.40279;-3.4960000000000004;-3.6477083333333336;0.46627;0.24432;4.819038296596177;432.73;1.9226507957399195;300.325;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;6;0;330;0.0;97661.62131;-3.437;-3.6477083333333336;0.6290899999999999;0.17707;4.841026326502343;433.06;1.8667198312940643;300.059;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;6;30;330;0.0;97627.63506;-3.388;-3.6477083333333336;3.028622;0.57543818;4.860575260950122;433.27333333333326;1.8122419403250511;299.395;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;7;0;330;0.0;97611.99394;-3.318;-3.6477083333333336;3.271012;0.62149228;4.88683923744206;433.48666666666674;1.7599095964683422;300.36;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;7;30;330;0.0;97609.68195;-3.2710000000000004;-3.6477083333333336;0.68597;0.25046;4.9039364955104165;433.7;1.7103922516400036;302.327;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;8;0;330;0.16;97576.76122;-3.38;-3.6477083333333336;1.0379;0.19141;4.865675374436708;433.94;1.6643402932428126;302.365;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;8;30;330;0.21;97549.68078000001;-3.2910000000000004;-3.6477083333333336;0.46343;0.18605;4.899583009888487;433.94;1.622384124265183;306.075;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;9;0;330;0.35;97471.34;-3.167;-3.6477083333333336;0.45382;0.11622;4.949449429255962;434.1;1.5851281513445916;308.045;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;9;30;330;0.37;97451.45;-3.057;-3.6477083333333336;0.45204;0.10203;4.990819145158658;434.58;1.553139787823516;309.8;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;10;0;330;0.46;97436.6;-3.039;-3.6477083333333336;0.75745;0.1111;4.998428804453977;434.78;1.5269340844027999;312.965;0.0;0.0;1.0955;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;10;30;330;0.29;97417.76999999999;-2.939;-3.6477083333333336;0.6392399999999999;0.17849;5.036662046069923;434.87;1.5069552715050878;310.996;1.7894442672409487;0.3840206450397529;2.2563211276992607;0.4842139600200369;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;11;0;330;0.13;97389.83;-2.899;-3.6477083333333336;1.3155;0.29278000000000004;5.053228904155886;434.51;1.4935572184274786;309.451;2.191640295870625;0.5066053181644632;4.919170843930186;1.1370835420347252;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;11;30;330;0.1;97366.27;-2.9130000000000003;-3.6477083333333336;2.864063;0.5441719700000001;5.0491885794923395;434.5533333333333;1.4869853752148283;306.502;2.408866648897805;0.5137210704004407;5.756719531133358;1.227692749568395;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;12;0;330;0.07;97339.5;-2.883;-3.6477083333333336;2.537053;0.48204007;5.062372080264437;434.5966666666666;1.4873629179798895;303.485;2.5276656015251717;0.5275975563695662;6.211678344254531;1.296558497850732;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;12;30;330;0.09;97320.79;-2.895;-3.6477083333333336;1.7869;0.27189;5.05877574767775;434.64;1.494683390869434;303.47;2.155599728599814;0.4538300959615904;4.8491519327077945;1.0209182427307997;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;13;0;330;0.08;97309.01;-2.8760000000000003;-3.6477083333333336;1.7026;0.39738;5.066545414895775;434.76;1.5088111314107322;303.4890000000001;1.8331180035060115;0.4600837508799535;3.5710267643932814;0.8962714812207543;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;13;30;330;0.14;97294.56999999999;-2.866;-3.6477083333333336;1.3542;0.31783;5.071170254403129;434.69;1.5294894056760742;304.711;0.7438744978239035;0.2718755021760964;0.7438744978239035;0.2718755021760964;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;14;0;330;0.09;97271.31000000001;-2.864;-3.6477083333333336;1.8102;0.33719;5.0732394008218815;435.83;1.5563548402549436;302.873;0.0;0.0;0.5065;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;14;30;330;0.0;97257.23000000001;-2.8480000000000003;-3.6477083333333336;1.84;0.43264;5.080016229494236;436.41;1.5889557850290952;301.694;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;15;0;330;0.17;97257.4;-2.824;-3.6477083333333336;1.4565;0.40497;5.0889807635378475;436.05;1.626771877507641;301.582;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;15;30;330;0.07;97247.97;-2.817;-3.6477083333333336;1.9304;0.48778;5.091970930123156;436.29;1.6692322869060674;301.41;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;16;0;330;0.0;97247.0;-2.912;-3.6477083333333336;2.299;0.51753;5.055402417211083;434.49;1.715730705019243;301.274;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;16;30;330;0.0;97258.90000000001;-3.023;-3.6477083333333336;2.619615;0.49772685;5.006994761229223;434.05;1.7656358746718501;292.031;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;17;0;330;0.0;97270.39;-3.244;-3.6477083333333336;2.897555;0.55053545;4.911131518830157;433.61;1.8182971034274964;284.137;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
2019;11;26;17;30;330;0.0;97282.45;-3.407;-3.6477083333333336;2.4975;0.51903;4.8342040169164875;433.17;1.8730446942486942;278.578;0.0;0.0;0.0;0.0;1.147;0.24985;-2.105003006820219;996.3474302542502
